,MinTemp,MaxTemp,Rainfall
207,4.7,18.5,3.8
208,4.9,18.1,5.2
209,1.4,16.8,0.0
210,2.2,17.5,0.2
211,-0.1,18.0,0.0
212,-0.9,18.5,0.0
213,0.6,14.0,0.0
214,4.6,15.7,0.0
215,9.8,14.4,0.8
216,10.6,15.1,3.8
217,7.8,15.1,0.0
218,4.4,16.7,0.0
219,-0.2,15.5,0.0
220,4.3,14.5,0.0
221,7.4,16.3,0.0
222,8.6,13.7,6.2
223,10.2,15.0,4.8
224,7.3,16.4,0.2
225,8.7,13.0,0.6
226,1.0,11.8,0.0
227,2.1,14.7,0.0
228,6.4,16.9,0.0
229,5.4,15.5,0.0
230,0.4,15.5,0.0
231,4.0,15.9,0.0
232,8.4,11.7,4.8
233,0.4,13.9,0.6
234,4.2,14.0,0.0
235,0.9,12.9,0.0
236,0.8,13.0,0.0
237,4.3,12.6,0.0
238,6.3,11.8,0.0
239,3.5,14.3,0.0
240,-1.5,14.8,0.0
241,1.2,16.0,0.0
242,0.5,15.4,0.0
243,5.3,11.7,2.0
244,6.6,13.1,0.2
245,-1.6,11.5,0.0
246,-3.1,12.0,0.0
247,-0.1,14.2,0.0
248,-0.6,14.0,0.0
249,3.0,11.1,0.8
250,2.9,9.5,16.8
251,-1.3,8.8,0.0
252,1.8,8.7,0.0
253,2.9,8.4,1.6
254,-2.6,11.1,0.2
255,0.5,11.0,0.0
256,2.7,16.5,0.0
257,-1.7,13.6,0.0
258,-0.9,12.8,0.2
259,-1.8,11.5,0.0
260,1.3,10.6,0.0
261,2.4,11.6,1.2
262,-1.1,11.0,0.2
263,2.3,11.6,19.2
264,-2.2,11.6,0.0
265,-3.5,11.2,0.0
266,-1.0,12.2,0.0
267,-2.1,12.9,0.0
268,-2.0,11.3,0.2
269,-2.3,9.7,0.0
270,-1.6,10.7,1.4
271,0.8,12.2,0.0
272,-2.8,12.2,0.0
273,-2.8,14.1,0.0
274,3.0,9.7,1.0
275,4.4,11.5,6.6
276,2.3,12.8,0.0
277,-2.0,12.3,0.0
278,-1.9,10.9,0.0
279,4.8,14.1,4.0
280,-0.6,11.1,0.0
281,3.1,12.5,1.2
282,-2.9,9.6,0.0
283,-3.5,7.6,0.4
284,-0.3,9.3,0.4
285,0.1,10.4,0.0
286,2.3,12.2,0.0
287,2.1,10.7,0.0
288,4.6,14.7,0.0
289,3.7,14.2,0.0
290,-1.3,11.6,0.0
291,-3.4,12.5,0.0
292,-5.3,13.1,0.0
293,0.0,14.0,0.0
294,2.4,14.1,0.0
295,-0.6,12.2,0.0
296,2.3,11.6,0.0
297,-3.7,14.4,0.0
298,-0.9,14.2,0.0
299,-1.5,17.3,0.0
300,-3.3,15.1,0.0
301,-0.1,14.7,0.0
302,-0.2,16.2,0.0
303,0.5,16.3,0.0
304,6.1,17.2,4.0
305,4.1,14.8,7.4
306,0.1,16.7,0.0
307,3.2,12.1,0.0
308,5.4,11.3,0.2
309,5.8,12.4,0.0
310,6.3,16.1,0.0
311,-0.9,16.7,0.0
312,0.2,15.5,1.0
313,-3.7,14.7,0.0
314,-2.7,15.2,0.0
315,-2.5,16.6,0.0
316,-0.5,21.6,0.0
317,9.0,25.5,0.0
318,13.1,19.4,9.8
319,8.7,19.7,1.6
320,3.9,13.2,3.4
321,0.7,14.1,0.0
322,1.1,18.0,0.0
323,5.1,23.3,0.0
324,7.5,23.3,0.0
325,4.7,19.5,0.0
326,3.2,21.9,0.0
327,7.8,16.2,17.4
328,2.4,17.3,0.0
329,3.2,18.7,0.0
330,2.5,20.9,0.0
331,6.5,25.7,0.0
332,14.4,24.3,0.0
333,4.9,18.9,0.0
334,2.3,16.8,0.0
335,1.4,20.6,0.0
336,5.6,27.6,0.0
337,16.8,28.9,0.0
338,14.4,20.7,7.6
339,10.3,21.3,3.0
340,11.2,18.0,0.0
341,0.3,16.0,8.2
342,0.5,17.9,0.0
343,0.5,20.0,0.0
344,4.6,22.0,0.0
345,8.2,22.4,0.0
346,4.5,23.9,0.0
347,6.7,26.1,0.0
348,11.9,21.1,13.2
349,9.2,19.6,0.6
350,4.4,21.0,0.0
351,5.0,24.1,0.0
352,6.7,24.7,0.0
353,8.3,28.5,0.0
354,11.3,27.4,0.2
355,9.0,20.6,0.0
356,3.4,15.0,0.8
357,3.2,18.0,0.0
358,0.9,20.7,0.0
359,3.3,25.5,0.0
360,7.9,26.1,0.0
361,9.0,30.7,0.0
362,7.1,28.4,0.0
363,12.5,19.9,0.0
364,12.5,26.9,0.0
365,12.3,30.2,0.0
